a-cute-little-crock-pot,modrinth,a-cute-little-crock-pot,1.14.1+1.20.1,1bo5VpLI,false
adapaxels,modrinth,adapaxels,1.5.1+1.20.3,1.5.1+1.20.3,false
addadd,modrinth,addadd,6.0.1,6.0.1,false
adorn,modrinth,adorn,5.0.1-fabric,5.0.1-fabric,true
advancement-frames,modrinth,advancement-frames,1.20-2.2.7,DxfoqvJs,false
adventurez,modrinth,adventurez,1.4.20+1.20.1,1.4.20+1.20.1,true
ae2,modrinth,ae2,15.2.12,15.2.12,false
alloy_forgery,modrinth,alloy-forgery,2.1.2+1.20,2.1.2+1.20,false
animal_feeding_trough,modrinth,animal_feeding_trough,1.1.0+1.20.1,1.1.0+1.20.1,true
another-furniture,modrinth,another-furniture,3.0.1,YKKY0UDo,true
applied-energistics-2-wireless-terminals,modrinth,applied-energistics-2-wireless-terminals,15.2.1-fabric,15.2.1-fabric,false
archon,modrinth,archon,0.7.41,0.7.41,false
bartering-station,modrinth,bartering-station,v8.0.0-1.20.1-Fabric,v8.0.0-1.20.1-Fabric,false
bclib,modrinth,bclib,3.0.14,3.0.14,false
bedrockify,modrinth,bedrockify,1.9.1+mc1.20,1.9.1+mc1.20,false
better-combat,modrinth,better-combat,1.8.6+1.20.1-fabric,qxfX3jsR,false
betterend,curse,413596,4971487,4971487,false
betternether,curse,311377,4971478,4971478,false
bewitchment,modrinth,bewitchment,1.20-10,1.20-10,false
blossom,modrinth,blossom,Fabric-1.20-pre4-1.0.7,Fabric-1.20-pre4-1.0.7,false
boat-container,modrinth,boat-container,1.3.0,1.3.0,false
bosses-of-mass-destruction,modrinth,bosses-of-mass-destruction,1.7.5-1.20.1,1.7.5-1.20.1,false
bountiful,modrinth,bountiful,6.0.3+1.20.1,qFqfFMMO,false
bushier-flowers,modrinth,bushier-flowers,0.0.3-1.20.1,0.0.3-1.20.1,false
bygone-nether,modrinth,bygone-nether,1.3.2,S8KkpB4v,false
carrier,modrinth,carrier,1.12.0,1.12.0,false
carryon,modrinth,carry-on,2.1.2.7,Mkla4B3q,false
chimes,curse,350464,4671968,4671968,false
chisel-reborn,modrinth,chisel-reborn,1.8.0,RkKzTTx0,false
clickmachine,curse,565529,4752681,4752681,false
clickthrough,modrinth,clickthrough,1.20-fabric0.83.0-0.4.1,1.20-fabric0.83.0-0.4.1,false
conjuring,modrinth,conjuring,1.0.29+1.20,1.0.29+1.20,false
creeper-overhaul,modrinth,creeper-overhaul,3.0.2,Mw0Hq1SZ,false
croptopia,curse,415438,4997461,4997461,false
dark-utilities,modrinth,dark-utilities,17.0.5,G6ROOs1R,false
dehydration,modrinth,dehydration,1.3.6+1.20.1,60cSGCnr,false
disenchanter,modrinth,disenchanter,0.1.8+1.20,0.1.8+1.20,false
dismount-entity,modrinth,dismount-entity,1.20.1-3.5-fabric+forge+neo,D9HC4wsy,false
do-api,modrinth,do-api,1.2.15,kD7KNe4P,false
dramatic-doors,modrinth,dramatic-doors,1.20.1-3.2.8,1.20.1-3.2.8,false
enderchests,modrinth,enderchests,1.20.1-1.3,WdcVOx5X,false
expanded-delight,modrinth,expanded-delight,0.3.2-fabric,0.3.2-fabric,false
extended-drawers,modrinth,extended-drawers,2.1.1+mc.1.20.1,2.1.1+mc.1.20.1,false
farmers-delight-refabricated,modrinth,farmers-delight-refabricated,1.20.1-2.2.0,vXPVU0EZ,false
friends-and-foes,modrinth,friends-and-foes,fabric-mc1.20.1-3.0.6,fabric-mc1.20.1-3.0.6,false
galosphere,modrinth,galosphere,1.20.1-1.4.1,1.20.1-1.4.1,false
goblin-traders,curse,667389,4802504,4802504,false
guard-villagers,modrinth,guard-villagers-(fabricquilt),2.0.9-1.20.1,2.0.9-1.20.1,false
happiness-is-a-warm-gun,modrinth,happiness-is-a-warm-gun,2.0.2,UebxWDTh,false
industrial-revolution,modrinth,industrial-revolution,1.16.5-BETA,1.16.5-BETA,false
inmis,modrinth,inmis,2.7.2+1.20.1,2.7.2+1.20.1,false
interactic,modrinth,interactic,0.2.0+1.20,0.2.0+1.20,false
ironchestsfabric,modrinth,cyberanner-ironchest,2.0.2,2.0.2,false
ironchestsrestocked,modrinth,ironchests,5.0.2,gioHN8Aw,false
kibe,modrinth,kibe,1.10.1-BETA+1.20,1.10.1-BETA+1.20,false
macaws_bridges,modrinth,macaws-bridges,3.0.0,RmsMXs3r,false
macaws_doors,modrinth,macaws-doors,1.1.1,vkuwEpj0,false
macaws_lights,modrinth,macaws-lights-and-lamps,1.1.1,D8iZj41A,false
macaws_roofs,modrinth,macaws-roofs,2.3.1,EOjhPmTj,false
macaws_windows,modrinth,macaws-windows,2.3.0,88sYNcv4,false
magic-combat-wands,modrinth,magic-combat-wands,1.1.0,e1ztnssk,false
mariums-soulslike-weaponry,modrinth,mariums-soulslike-weaponry,1.1.5-1.20.1-fabric,1.1.5-1.20.1-fabric,false
mc-dungeons-artifacts,modrinth,mcdar,4.0.4,4.0.4,false
mc-dungeons-weapons,modrinth,mcdw,9.0.4,9.0.4,false
mcpitanlibarch,modrinth,mcpitanlibarch,3.0.9-fabric,54TwkvhX,false
meadow,modrinth,lets-do-meadow,1.3.19,1.3.19,false
merequester,modrinth,merequester,1.20.1-1.1.4+fabric,1.20.1-1.1.4+fabric,false
moonlight,modrinth,moonlight,fabric_1.20-2.13.30,g0d3msdv,true
more-banner-features,modrinth,more-banner-features,1.2.0,1.2.0,false
more-geodes,modrinth,more-geodes,1.9.3,1.9.3,false
multibeds,modrinth,multibeds,1.20.1-1.3,1.20.1-1.3,false
natures-compass,modrinth,natures-compass,1.20.1-2.2.3-fabric,1.20.1-2.2.3-fabric,false
no-strip,modrinth,no-strip,1.2.3,1.2.3,false
numismatic-overhaul,modrinth,numismatic-overhaul,0.2.14+1.20,0.2.14+1.20,false
omni-hopper,modrinth,omnihopper,2.2.4+1.20,2.2.4+1.20,false
paladins-furniture,modrinth,paladins-furniture,1.20.1-v1.2.1-fabric,1.20.1-v1.2.1-fabric,false
patchouli,modrinth,patchouli,1.20.1-84-fabric,Y6tuH1cn,false
platforms,modrinth,platforms,1.20.1-1.1,1.20.1-1.1,false
reborncore,curse,237903,4708961,4708961,false
runes,modrinth,runes,0.9.13+1.20.1,0.9.13+1.20.1,false
saflib,modrinth,saflib,1.1.0,1.1.0,true
spell-engine,modrinth,spell-engine,0.15.11+1.20.1,0.15.11+1.20.1,false
techreborn,curse,233564,4708962,4708962,false
things,modrinth,things,0.3.3+1.20,FLzUUyOd,false
throwabletorch,curse,442917,4663763,4663763,false
toms-storage,modrinth,toms-storage,1.20-1.6.8-fabric,1.20-1.6.8-fabric,false
trading-post,modrinth,trading-post,v8.0.2-1.20.1-Fabric,v8.0.2-1.20.1-Fabric,false
travelers_backpack,modrinth,travelersbackpack,1.20.1-9.1.18,1.20.1-9.1.18,false
trinkets,modrinth,trinkets,3.7.2,AHxQGtuC,false
twigs,modrinth,twigs,3.1.0,3.1.0,false
universal-graves,modrinth,universal-graves,3.0.3+1.20.1,3.0.3+1.20.1,false
vanillatweaks,modrinth,vanillatweaks,1.5.71,v3YmWQwL,false
villagersplus,modrinth,villagersplus,3.1,3.1,false
vinery,modrinth,lets-do-vinery,1.4.28,xXv88P3U,false
voidz,modrinth,voidz,1.0.11+1.20.1,1.0.11+1.20.1,false
wetlands,modrinth,beneath-the-wetlands,1.2,SQIs7MJs,false
windchimes,modrinth,windchimes,1.2.4+1.20,1.2.4+1.20,false
