a-cute-little-crock-pot,modrinth,a-cute-little-crock-pot,1.14.4+1.21.3,f4jW84ri,false
animal_feeding_trough,disabled,animal_feeding_trough,1.1.3+1.21.3,MYBYAlNP,false
chisel-reborn,modrinth,chisel-reborn,fabric-1.21.3-1.8.3,dIEhNiMa,false
disenchanter,modrinth,disenchanter,0.1.10+1.21.2,hMJpNk92,false
dismount-entity,modrinth,dismount-entity,1.21.3-3.5-fabric+forge+neo,4iqAZcUN,false
extended-drawers,modrinth,extended-drawers,4.0.0+mc.1.21.2,Kni3nnOS,false
mcpitanlibarch,modrinth,mcpitanlibarch,3.0.9-fabric,skQkotLb,false
natures-compass,modrinth,natures-compass,1.21.3-2.2.8-fabric,K3BhUrB4,false
no-strip,modrinth,no-strip,1.2.4,Co8IVPyX,false
throwabletorch,curse,442917,5871318,5871318,false
toms-storage,modrinth,toms-storage,1.21.3-2.1.1-fabric,t4dmpxAg,false
universal-graves,modrinth,universal-graves,3.5.0+1.21.2,fS2NJyqY,false
